,sector,latitude,longitude
0,1,28.360102,76.948375
1,2,28.50905,77.034283
2,3,28.497391,77.020526
3,4,28.475006,77.010353
4,5,28.367354,76.926724
5,6,28.475326,77.025828
6,7,28.466257,77.014265
7,8,28.459897,77.019804
8,9,28.384099,76.886134
9,10,28.444581,77.006023
10,11,28.378143,76.875377
11,12,28.392411,76.898514
12,13,28.4746,77.036719
13,14,28.473784,77.047183
14,15,28.38432,76.912233
15,16,28.467613,77.05108
16,17,28.475804,77.060777
17,18,28.491345,77.071026
18,19,28.503091,77.081748
19,20,28.508496,77.087939
20,21,28.514363,77.073009
21,22,28.506318,77.065518
22,23,28.510319,77.053009
23,24,28.494481,77.101304
24,25,28.486089,77.084224
25,26,28.477937,77.103242
26,27,28.464657,77.083951
27,28,28.47413,77.082572
28,29,28.46692,77.067131
29,30,28.461624,77.056682
30,31,28.454004,77.049718
31,32,28.445804,77.041317
32,33,28.438478,77.025165
33,34,28.428003,77.011568
34,35,28.414567,77.001869
35,36,28.419334,76.988926
36,37,28.434268,76.999294
37,38,28.435142,77.040354
38,39,28.442367,77.050472
39,40,28.450043,77.057709
40,41,28.456919,77.064605
41,42,28.455897,77.108476
42,43,28.454874,77.085886
43,44,28.450706,77.073828
44,45,28.4449,77.066355
45,46,28.435913,77.058404
46,47,28.425157,77.047513
47,48,28.41049,77.039463
48,49,28.412885,77.049836
49,50,28.416654,77.061175
50,51,28.428701,77.066688
51,52,28.436817,77.079528
52,53,28.441519,77.096805
53,54,28.442106,77.111265
54,55,28.427417,77.109754
55,56,28.425323,77.098516
56,57,28.423248,77.080449
57,58,28.416001,77.108556
58,59,28.403016,77.106668
59,60,28.398562,77.097828
60,61,28.411019,77.096368
61,62,28.407697,77.082378
62,63,28.396448,77.086498
63,64,28.391464,77.076198
64,65,28.404656,77.069047
65,66,28.397429,77.053882
66,67,28.386405,77.059805
67,68,28.388897,77.045986
68,69,28.39607,77.037231
69,70,28.394726,77.022314
70,71,28.406456,77.023313
71,72,28.415926,77.029077
72,73,28.408808,77.016169
73,74,28.411276,77.010669
74,75,28.396448,77.00659
75,76,28.391011,76.990024
76,77,28.383234,76.982557
77,78,28.372528,76.970296
78,79,28.408229,76.963025
79,80,28.370217,76.961116
80,81,28.387365,76.947583
81,82,28.393108,76.958876
82,83,28.398109,76.973287
83,84,28.408229,76.963025
84,85,28.403652,76.953143
85,86,28.398121,76.941126
86,87,28.392219,76.92917
87,88,28.421965,76.956808
88,89,28.418446,76.945757
89,90,28.406997,76.936556
90,91,28.400759,76.92108
91,92,28.408905,76.915523
92,93,28.415605,76.931638
93,94,28.421965,76.929771
94,95,28.414944,76.911489
95,96,28.434268,76.999294
96,97,28.409282,76.88059
97,98,28.506081,76.99678
98,99,28.464555,76.962858
99,100,28.46139,76.971271
100,101,28.468408,76.980379
101,102,28.475487,76.971175
102,103,28.493087,76.986645
103,104,28.479532,76.99372
104,105,28.494313,77.008138
105,106,28.506081,76.99678
106,107,28.506941,76.975214
107,108,28.512899,76.982361
108,109,28.510921,77.006596
109,110,28.506963,77.018321
110,111,28.522277,77.03362
111,112,28.52034,77.018861
112,113,28.528665,77.025028
113,114,28.531878,77.011779
114,115,28.535688,77.006943
